IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
21-0086,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0087,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0088,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0089,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0090,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0091,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0092,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0093,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
21-0094,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0095,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0096,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0097,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0098,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0099,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0100,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0101,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0102,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0103,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0104,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0105,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0106,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0107,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0108,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0109,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
